Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,17011644,,17011644,,6962580,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,7324421,,7324421,,2134142,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,52,Barbados,BRB,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,4670,,4670,,17559,,,0
H4,2015,2015,2015,6,1,1,Import,826,United Kingdom,GBR,56,Belgium,BEL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,10878970,,10878970,,3849361,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,56,Belgium,BEL,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,41410,,41410,,65477,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,76,Brazil,BRA,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,11,,11,,11405,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,156,China,CHN,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,693,,693,,25256,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,15226,,15226,,67157,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,208,Denmark,DNK,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,28,,28,,478,,,0
H4,2015,2015,2015,6,1,2,Export,826,United Kingdom,GBR,246,Finland,FIN,,,,,,,,280800,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes // Nitric acid; sulphonitric acids. // Nitric acid; sulphonitric acids.",8,Weight in kilograms,,,16431,,16431,,23929,,,0
