"data_zone"	"intermediate_zone"	"council_area"	"health_board"	"pct_school_attend"	"alcohol"	"population"	"working_population"	"pct_income_deprived"	"pct_employment_deprived"	"illness"	"mortality"	"drugs"	"pct_depress"	"pct_low_bw"	"hosp_emerg"	"noquals"	"crime"	"pct_no_heating"	"simd_2016_quintile"	"urban"
"1"	"S01006506"	"Culter"	"Aberdeen City"	"Grampian"	86	103	904	605	7	7	60	67	28	12	0	80	53	89	1	4	0
"2"	"S01006507"	"Culter"	"Aberdeen City"	"Grampian"	83	33	830	491	7	5	40	86	40	15	3	98	96	48	0	4	0
"3"	"S01006508"	"Culter"	"Aberdeen City"	"Grampian"	88	54	694	519	5	3	45	43	33	13	6	70	39	58	1	5	0
"4"	"S01006509"	"Culter"	"Aberdeen City"	"Grampian"	94	142	573	354	5	6	65	88	49	15	4	88	80	NA	1	4	0
"5"	"S01006510"	"Culter"	"Aberdeen City"	"Grampian"	81	52	676	414	10	7	75	149	235	20	0	105	77	178	1	3	0
"6"	"S01006511"	"Culter"	"Aberdeen City"	"Grampian"	93	105	781	464	3	3	50	68	0	11	13	73	54	38	1	5	0
"7"	"S01006512"	"Culter"	"Aberdeen City"	"Grampian"	88	39	528	322	2	2	35	77	0	10	9	67	27	NA	2	5	0
"8"	"S01006513"	"Cults, Bieldside and Milltimber West"	"Aberdeen City"	"Grampian"	94	60	697	354	3	3	55	137	0	21	0	77	40	NA	1	5	0
"9"	"S01006514"	"Cults, Bieldside and Milltimber West"	"Aberdeen City"	"Grampian"	95	9	1131	710	1	1	25	86	0	11	5	65	19	44	0	5	0
"10"	"S01006515"	"Cults, Bieldside and Milltimber West"	"Aberdeen City"	"Grampian"	97	6	791	491	1	1	35	61	0	10	0	59	15	51	0	5	0
"11"	"S01006516"	"Cults, Bieldside and Milltimber West"	"Aberdeen City"	"Grampian"	90	26	572	377	2	3	30	35	55	8	0	43	24	87	0	5	0
"12"	"S01006517"	"Cults, Bieldside and Milltimber West"	"Aberdeen City"	"Grampian"	91	60	1038	634	3	4	40	60	70	12	0	65	25	154	1	5	1
"13"	"S01006518"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	98	35	671	392	1	1	20	53	119	9	0	53	14	NA	0	5	1
"14"	"S01006519"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	96	50	904	546	2	2	30	73	41	8	5	56	29	NA	0	5	1
"15"	"S01006520"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	95	13	783	508	0	0	10	27	0	6	6	57	4	NA	0	5	1
"16"	"S01006521"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	93	19	772	520	1	1	15	61	0	8	0	51	18	91	0	5	1
"17"	"S01006522"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	96	17	628	379	0	1	15	65	0	6	0	58	16	NA	0	5	1
"18"	"S01006523"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	94	181	942	548	3	2	40	60	0	12	7	82	12	96	1	5	1
"19"	"S01006524"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	87	69	1017	584	10	11	85	119	35	15	11	65	70	79	1	3	1
"20"	"S01006525"	"Cults, Bieldside and Milltimber East"	"Aberdeen City"	"Grampian"	94	42	849	456	3	4	50	64	90	12	6	63	14	NA	1	5	1
"21"	"S01006526"	"Garthdee"	"Aberdeen City"	"Grampian"	66	90	906	644	11	9	95	130	113	17	4	130	105	110	1	2	1
"22"	"S01006527"	"Garthdee"	"Aberdeen City"	"Grampian"	71	265	669	440	14	14	125	118	222	20	3	125	138	329	0	2	1
