Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,Release,Revenues,year
1,238,48,38,3,Avatar (Fox),18-Dec-09,"$760,507,625 ",2009
2,145,21,36,8,Titanic (Paramount),19-Dec-97,"$658,672,302 ",1997
3,268,22,38,7,Marvel's The Avengers (Disney),04-May-12,"$623,357,910 ",2012
4,268,18,42,4,The Dark Knight (Warner Bros.),18-Jul-08,"$534,858,444 ",2008
5,107,81,19,31,Star Wars: Episode I - The Phantom Menace (Fox),19-May-99,"$474,544,249 ",1999
6,63,4,15,2,Star Wars (Fox),25-May-77,"$460,998,882 ",1977
7,256,39,34,11,The Dark Knight Rises (Warner Bros.),20-Jul-12,"$448,139,099 ",2012
8,185,23,36,5,Shrek 2 (DreamWorks),19-May-04,"$441,226,414 ",2004
9,92,2,17,1,E.T.: The Extra-Terrestrial (Universal),11-Jun-82,"$435,110,890 ",1982
10,119,101,16,25,Pirates of the Caribbean: Dead Man's Chest (Disney),07-Jul-06,"$423,315,199 ",2006
11,84,10,14,1,The Lion King (Disney),15-Jun-94,"$422,783,937 ",1994
12,252,3,41,0,Toy Story 3 (Disney),18-Jun-10,"$415,004,880 ",2010
13,225,41,32,9,The Hunger Games (Lionsgate),23-Mar-12,"$408,010,692 ",2012
14,193,23,31,6,Spider-Man (Sony / Columbia),03-May-02,"$403,706,983 ",2002
15,49,190,7,34,Transformers: Revenge of the Fallen (Paramount / DreamWorks),24-Jun-09,"$402,111,347 ",2009
16,267,10,43,0,Harry Potter and the Deathly Hallows: Part 2 (Warner Bros.),15-Jul-11,"$381,011,219 ",2011
17,203,51,30,14,Star Wars: Episode III - Revenge of the Sith (Fox),19-May-05,"$380,270,448 ",2005
18,223,2,45,0,Finding Nemo (Disney),30-May-03,"$380,230,842 ",2003
19,230,14,43,1,The Lord of the Rings: The Return of the King (New Line),17-Dec-03,"$377,027,863 ",2003
20,226,16,43,2,Spider-Man 2 (Sony / Columbia),30-Jun-04,"$373,524,311 ",2004
21,131,135,18,31,The Passion of the Christ (Newmarket),25-Feb-04,"$370,773,682 ",2004
22,44,5,9,1,Jurassic Park (Universal),11-Jun-93,"$357,067,990 ",1993
23,85,154,10,31,Transformers: Dark of the Moon (Paramount / DreamWorks),28-Jun-11,"$352,390,543 ",2011
24,213,9,39,0,The Lord of the Rings: The Two Towers (New Line),18-Dec-02,"$341,786,621 ",2002
25,154,90,20,27,Spider-Man 3 (Sony / Columbia),04-May-07,"$336,530,590 ",2007
26,134,127,23,16,Alice in Wonderland (2010) (Disney),05-Mar-10,"$334,191,110 ",2010
27,40,16,9,4,Forrest Gump (Paramount),06-Jul-94,"$329,694,570 ",1994
28,84,122,19,22,Shrek the Third (Paramount / DreamWorks),18-May-07,"$322,719,455 ",2007
29,125,95,29,13,Transformers (Paramount / DreamWorks),03-Jul-07,"$319,246,139 ",2007
30,223,15,40,4,Iron Man (Paramount),02-May-08,"$318,412,855 ",2008
31,147,38,30,11,Harry Potter and the Sorcerer's Stone (Warner Bros.),16-Nov-01,"$317,575,047 ",2001
32,198,57,27,16,Indiana Jones and the Kingdom of the Crystal Skull (Paramount),22-May-08,"$317,101,243 ",2008
33,192,17,36,3,The Lord of the Rings: The Fellowship of the Ring (New Line),19-Dec-01,"$314,776,383 ",2001
34,200,68,26,14,Iron Man 2 (Paramount),07-May-10,"$312,128,345 ",2010
35,145,73,17,24,Star Wars: Episode II - Attack of the Clones (Fox),16-May-02,"$310,676,344 ",2002
36,98,121,14,28,Pirates of the Caribbean: At World's End (Disney),25-May-07,"$309,420,379 ",2007
37,52,14,15,4,Return of the Jedi (Fox),25-May-83,"$309,306,996 ",1983
38,34,22,11,6,Independence Day (Fox),03-Jul-96,"$306,169,262 ",1996
39,161,44,28,13,Pirates of the Caribbean: The Curse of the Black Pearl (Disney),09-Jul-03,"$305,413,236 ",2003
40,215,42,39,5,Harry Potter and the Half-Blood Prince (Warner Bros.),15-Jul-09,"$301,959,187 ",2009
41,114,119,24,14,The Twilight Saga: Eclipse (Summit),30-Jun-10,"$300,531,751 ",2010
42,59,159,18,26,The Twilight Saga: New Moon (Summit),20-Nov-09,"$296,639,747 ",2009
43,196,52,30,11,Harry Potter and the Deathly Hallows: Part 1 (Warner Bros.),19-Nov-10,"$295,983,305 ",2010
44,114,20,25,7,The Sixth Sense (Disney),06-Aug-99,"$293,506,977 ",1999
45,273,5,39,2,Up (Disney),29-May-09,"$293,003,689 ",2009
