council_area,health_board,pct_school_attend,alcohol,pct_income_deprived,pct_employment_deprived,mortality,drugs,pct_depress,pct_low_bw,hosp_emerg,pct_no_heating,pct_overcrowded,simd_2016_quintile,urban
Aberdeen City,Grampian,86,103,7,7,67,28,12,0,80,1,10.21,4,0
Aberdeen City,Grampian,83,33,7,5,86,40,15,3,98,0,10.17,4,0
Aberdeen City,Grampian,88,54,5,3,43,33,13,6,70,1,4.82,5,0
Aberdeen City,Grampian,94,142,5,6,88,49,15,4,88,1,7.24,4,0
Aberdeen City,Grampian,81,52,10,7,149,235,20,0,105,1,8.67,3,0
Aberdeen City,Grampian,93,105,3,3,68,0,11,13,73,1,3.6,5,0
Aberdeen City,Grampian,88,39,2,2,77,0,10,9,67,2,5.44,5,0
Aberdeen City,Grampian,94,60,3,3,137,0,21,0,77,1,2.64,5,0
Aberdeen City,Grampian,95,9,1,1,86,0,11,5,65,0,1.06,5,0
Aberdeen City,Grampian,97,6,1,1,61,0,10,0,59,0,3.81,5,0
Aberdeen City,Grampian,90,26,2,3,35,55,8,0,43,0,2.57,5,0
Aberdeen City,Grampian,91,60,3,4,60,70,12,0,65,1,3.85,5,1
Aberdeen City,Grampian,98,35,1,1,53,119,9,0,53,0,0.32,5,1
Aberdeen City,Grampian,96,50,2,2,73,41,8,5,56,0,1.49,5,1
Aberdeen City,Grampian,95,13,0,0,27,0,6,6,57,0,1.65,5,1
Aberdeen City,Grampian,93,19,1,1,61,0,8,0,51,0,1.36,5,1
Aberdeen City,Grampian,96,17,0,1,65,0,6,0,58,0,1.22,5,1
Aberdeen City,Grampian,94,181,3,2,60,0,12,7,82,1,1.91,5,1
Aberdeen City,Grampian,87,69,10,11,119,35,15,11,65,1,2.95,3,1
Aberdeen City,Grampian,94,42,3,4,64,90,12,6,63,1,3.26,5,1
Aberdeen City,Grampian,66,90,11,9,130,113,17,4,130,1,17.74,2,1
Aberdeen City,Grampian,71,265,14,14,118,222,20,3,125,0,11.42,2,1
Aberdeen City,Grampian,81,105,9,6,101,71,13,12,95,1,16.21,3,1
Aberdeen City,Grampian,74,76,9,5,132,25,14,7,83,4,17.6,3,1
Aberdeen City,Grampian,63,132,12,11,123,129,18,8,111,3,14.71,2,1
Aberdeen City,Grampian,64,121,14,11,104,312,17,6,135,1,19.9,2,1
Aberdeen City,Grampian,93,25,4,3,79,0,16,3,66,1,2.99,5,1
Aberdeen City,Grampian,90,30,1,1,47,0,11,0,57,0,0.43,5,1
Aberdeen City,Grampian,90,20,1,1,81,0,10,0,58,2,2.42,5,1
Aberdeen City,Grampian,82,32,3,2,81,18,12,4,64,2,10.5,5,1
Aberdeen City,Grampian,88,75,2,2,69,89,11,4,70,4,16.19,5,1
Aberdeen City,Grampian,97,57,2,1,62,83,16,0,77,0,2.92,5,1
Aberdeen City,Grampian,94,17,2,1,76,0,14,5,56,1,2.46,5,1
Aberdeen City,Grampian,93,19,1,1,128,0,14,0,65,1,2.66,5,1
Aberdeen City,Grampian,92,39,2,2,70,0,11,8,63,1,5.94,5,1
Aberdeen City,Grampian,96,0,3,2,63,0,14,6,81,0,2.5,5,1
Aberdeen City,Grampian,96,23,1,1,69,0,12,0,59,1,2.7,5,1
Aberdeen City,Grampian,95,83,4,2,62,0,13,0,78,0,1.13,5,1
Aberdeen City,Grampian,95,47,2,1,94,19,11,0,68,0,10.59,5,1
Aberdeen City,Grampian,88,35,4,4,72,25,13,9,65,2,5.73,5,1
Aberdeen City,Grampian,94,14,2,3,61,0,12,0,81,1,0.8,5,1
Aberdeen City,Grampian,92,134,9,7,96,102,17,0,81,2,7.06,3,1
Aberdeen City,Grampian,96,0,1,2,69,0,13,11,68,1,1.94,5,1
Aberdeen City,Grampian,92,11,1,2,68,0,13,3,51,0,4.32,5,1
Aberdeen City,Grampian,98,24,1,1,92,0,12,9,61,0,2.53,5,1
Aberdeen City,Grampian,86,148,15,17,109,42,20,0,124,3,14.49,2,1
Aberdeen City,Grampian,87,21,3,3,47,0,12,3,62,1,1.95,5,1
Aberdeen City,Grampian,94,39,6,6,90,0,16,0,99,1,7.14,4,1
Aberdeen City,Grampian,87,60,7,6,102,134,16,14,99,1,13.58,4,1
Aberdeen City,Grampian,81,211,17,14,115,397,17,2,127,1,19.4,2,1
Aberdeen City,Grampian,85,197,13,12,112,589,20,2,136,1,16.11,2,1
Aberdeen City,Grampian,75,234,16,13,112,114,21,9,162,0,13.98,2,1
Aberdeen City,Grampian,97,23,2,2,79,0,10,0,68,4,9.32,5,1
Aberdeen City,Grampian,96,8,2,1,43,0,9,0,56,0,6.26,5,1
Aberdeen City,Grampian,93,36,3,1,110,0,11,4,84,1,3.76,5,1
Aberdeen City,Grampian,94,6,1,0,61,0,10,4,47,0,2.87,5,1
Aberdeen City,Grampian,84,51,5,7,82,37,14,9,89,1,7.97,4,1
Aberdeen City,Grampian,88,38,3,4,239,0,12,2,87,1,11.41,4,1
Aberdeen City,Grampian,65,196,12,9,98,155,15,2,101,4,21.63,3,1
Aberdeen City,Grampian,63,264,6,6,94,91,12,0,87,6,32.59,3,1
Aberdeen City,Grampian,82,44,5,4,86,121,12,2,75,3,12.83,5,1
Aberdeen City,Grampian,79,297,13,10,186,166,18,0,129,6,26.71,2,1
Aberdeen City,Grampian,73,51,2,2,70,0,10,2,66,5,20.04,5,1
Aberdeen City,Grampian,93,36,4,5,62,0,12,7,54,3,16.43,5,1
Aberdeen City,Grampian,91,37,1,2,97,28,10,3,69,1,7.28,5,1
Aberdeen City,Grampian,92,118,3,2,61,0,9,9,70,3,6.32,5,1
Aberdeen City,Grampian,94,45,1,1,61,0,8,0,59,1,3,5,1
Aberdeen City,Grampian,95,78,1,1,60,0,7,3,69,1,1.8,5,1
Aberdeen City,Grampian,96,57,1,1,87,0,9,2,61,1,3.28,5,1
Aberdeen City,Grampian,93,51,1,1,89,123,10,4,64,1,4.07,5,1
Aberdeen City,Grampian,90,46,2,2,91,29,9,2,64,1,6.3,5,1
Aberdeen City,Grampian,94,31,2,2,59,48,9,4,67,3,13.13,5,1
Aberdeen City,Grampian,76,136,5,4,102,139,9,3,86,5,21.32,4,1
Aberdeen City,Grampian,81,58,3,3,116,15,8,6,61,3,17.74,5,1
Aberdeen City,Grampian,84,54,3,2,65,0,11,3,71,5,15.03,5,1
Aberdeen City,Grampian,91,49,0,1,63,123,10,4,64,2,2.7,5,1
Aberdeen City,Grampian,80,190,8,6,92,248,11,5,107,6,18.32,3,1
Aberdeen City,Grampian,78,51,4,2,95,22,8,9,71,3,14.61,5,1
Aberdeen City,Grampian,78,39,1,2,74,55,9,3,69,4,20.7,5,1
Aberdeen City,Grampian,84,469,13,13,133,238,18,4,148,6,23.4,2,1
Aberdeen City,Grampian,71,90,8,6,132,54,14,5,106,7,24.58,3,1
Aberdeen City,Grampian,75,380,14,11,237,90,17,4,147,10,26.17,2,1
Aberdeen City,Grampian,62,119,5,4,91,101,10,11,109,9,34.64,4,1
Aberdeen City,Grampian,79,88,8,6,113,68,11,2,99,6,27.27,3,1
Aberdeen City,Grampian,80,371,9,9,95,143,13,3,126,7,27.01,3,1
Aberdeen City,Grampian,83,314,8,8,118,209,14,0,101,1,25.67,3,1
Aberdeen City,Grampian,90,21,1,1,49,0,6,5,54,3,9.26,5,1
Aberdeen City,Grampian,85,25,2,2,117,0,9,0,55,3,12.67,5,1
Aberdeen City,Grampian,92,204,3,3,107,41,12,4,68,2,11.32,5,1
Aberdeen City,Grampian,89,67,5,3,116,18,11,5,71,4,12.01,5,1
Aberdeen City,Grampian,90,89,2,2,111,26,12,4,86,3,12.24,5,1
Aberdeen City,Grampian,73,88,5,5,51,0,11,2,89,9,20.27,3,1
Aberdeen City,Grampian,91,27,1,1,63,0,9,7,49,1,3.97,5,1
Aberdeen City,Grampian,89,77,8,8,75,102,16,0,75,2,13.42,4,1
Aberdeen City,Grampian,88,76,4,2,126,40,15,5,73,2,10.78,5,1
Aberdeen City,Grampian,83,57,6,5,69,150,12,3,78,2,13.67,4,1
Aberdeen City,Grampian,87,55,2,1,90,29,11,0,65,0,2.94,5,1
Aberdeen City,Grampian,74,98,15,14,109,303,21,5,117,1,14.27,2,1
Aberdeen City,Grampian,74,56,11,7,96,91,20,5,103,1,12.74,3,1
Aberdeen City,Grampian,73,539,18,11,96,262,23,2,153,1,14.09,2,1
Aberdeen City,Grampian,85,33,7,7,101,0,15,11,93,1,9.41,4,1
Aberdeen City,Grampian,81,99,9,8,63,119,15,2,102,0,16.74,3,1
Aberdeen City,Grampian,86,32,3,2,74,61,11,6,77,0,6.97,4,1
Aberdeen City,Grampian,74,204,9,6,111,168,16,2,119,0,14.77,3,1
Aberdeen City,Grampian,71,88,14,12,94,136,23,16,119,1,14.25,2,1
Aberdeen City,Grampian,85,126,10,11,128,59,20,9,100,1,15.02,2,1
Aberdeen City,Grampian,81,69,6,5,94,0,15,9,97,1,7.43,4,1
Aberdeen City,Grampian,84,8,2,1,65,0,13,3,84,1,5.39,5,1
Aberdeen City,Grampian,90,61,1,2,32,33,13,0,91,1,2.21,5,1
Aberdeen City,Grampian,91,13,1,0,50,0,7,0,63,0,2.51,5,1
Aberdeen City,Grampian,81,94,3,1,126,58,12,7,88,2,5.46,5,1
Aberdeen City,Grampian,93,40,5,5,105,0,14,4,79,3,5.29,4,1
Aberdeen City,Grampian,84,48,3,3,91,62,15,22,65,1,4.86,5,1
Aberdeen City,Grampian,88,87,3,4,109,94,15,4,98,3,5.11,4,1
Aberdeen City,Grampian,86,37,5,4,94,0,15,0,97,2,7.43,4,1
Aberdeen City,Grampian,87,62,5,4,114,0,16,10,92,3,6.15,4,1
Aberdeen City,Grampian,91,49,3,3,45,0,12,5,96,3,8.52,5,1
Aberdeen City,Grampian,74,99,8,9,193,34,23,4,99,3,11.63,3,1
Aberdeen City,Grampian,77,140,10,10,93,134,16,8,111,9,29.16,3,1
Aberdeen City,Grampian,80,170,9,9,110,0,15,5,99,0,16.53,3,1
Aberdeen City,Grampian,70,139,16,13,130,237,20,11,125,1,22.98,2,1
Aberdeen City,Grampian,55,444,15,16,197,501,16,7,140,5,37.96,1,1
Aberdeen City,Grampian,67,187,9,10,176,173,12,2,92,10,37.56,3,1
Aberdeen City,Grampian,67,193,22,13,227,391,22,5,119,0,21.96,1,1
Aberdeen City,Grampian,76,118,20,14,127,102,20,6,123,1,18.82,2,1
Aberdeen City,Grampian,61,193,19,12,146,457,18,5,134,4,19.47,2,1
Aberdeen City,Grampian,66,356,17,16,169,138,18,8,133,1,22.29,1,1
Aberdeen City,Grampian,66,173,21,16,110,282,19,7,136,1,22.75,1,1
Aberdeen City,Grampian,65,193,28,24,134,606,17,8,138,2,18.61,1,1
Aberdeen City,Grampian,58,95,16,12,59,417,14,6,116,2,22.19,2,1
Aberdeen City,Grampian,68,296,29,17,171,424,19,6,143,1,20.92,1,1
Aberdeen City,Grampian,76,154,8,7,161,121,12,3,99,6,21.81,3,1
Aberdeen City,Grampian,65,202,11,10,155,597,15,8,117,4,26.5,2,1
Aberdeen City,Grampian,60,254,16,12,140,171,17,5,136,7,28.68,2,1
Aberdeen City,Grampian,86,73,2,2,46,67,9,5,69,1,19.5,5,1
Aberdeen City,Grampian,62,135,7,7,73,292,13,2,86,5,29.6,3,1
Aberdeen City,Grampian,77,136,5,5,94,104,10,3,98,6,29.28,4,1
Aberdeen City,Grampian,55,108,3,4,71,145,11,2,87,7,28.36,4,1
Aberdeen City,Grampian,68,110,7,6,147,17,14,2,86,3,28.66,4,1
Aberdeen City,Grampian,76,153,22,18,119,142,17,2,122,4,19.07,1,1
Aberdeen City,Grampian,63,88,4,2,136,21,11,3,88,8,27.64,4,1
Aberdeen City,Grampian,67,195,12,9,115,486,14,7,108,5,20.68,2,1
Aberdeen City,Grampian,78,239,6,6,113,99,11,8,84,8,30.15,4,1
Aberdeen City,Grampian,71,160,10,11,95,147,16,4,90,2,22.58,3,1
Aberdeen City,Grampian,74,285,7,7,137,41,13,6,112,7,31.08,3,1
Aberdeen City,Grampian,65,252,9,9,123,60,17,3,94,6,30.55,3,1
Aberdeen City,Grampian,83,53,5,4,93,59,12,6,84,4,22.02,4,1
Aberdeen City,Grampian,88,92,3,5,27,0,12,2,68,1,11.7,5,1
Aberdeen City,Grampian,60,276,15,14,103,231,21,7,112,1,18.69,2,1
Aberdeen City,Grampian,86,78,8,11,240,26,14,8,93,1,15.71,3,1
